Player_ID,Matches,Innings,Runs,Batting_Average,Strike_Rate,Fours,Sixes,Wickets,Bowling_Average,Economy_Rate,Catches,Player_Performance_Score
P0001,48,46,59,27.0,141.3,6,1,8,42.4,7.8,15,30.0
P0002,38,37,1334,33.5,154.3,153,37,6,33.5,6.2,13,30.0
P0003,24,23,1509,52.2,134.5,136,52,9,32.2,5.6,12,39.4
P0004,17,15,50,41.8,119.1,3,1,7,30.9,6.6,6,30.0
P0005,30,27,1111,30.9,132.1,115,27,6,25.1,8.8,12,30.0
P0006,48,47,1633,41.2,121.6,101,76,5,28.8,7.7,16,32.7
P0007,28,28,50,48.6,122.8,4,1,10,23.3,8.0,14,30.0
P0008,32,29,179,44.3,132.4,14,5,8,28.6,8.1,9,30.0
P0009,20,19,407,36.5,120.7,46,7,10,15.0,6.8,6,30.0
P0010,20,19,1655,30.2,129.5,100,40,9,32.4,8.8,10,30.0
P0011,33,33,2171,42.3,100.9,202,115,10,28.0,6.8,9,47.7
P0012,45,45,50,39.5,138.8,5,1,9,26.3,8.8,12,30.0
P0013,49,47,3077,44.1,135.0,274,66,9,30.8,7.8,4,58.7
P0014,33,30,50,41.7,120.3,3,1,11,17.5,5.6,11,30.0
P0015,12,9,851,45.4,146.9,100,23,10,44.4,6.7,14,30.0
P0016,31,29,478,31.2,151.9,43,7,7,28.2,5.6,10,30.0
P0017,11,8,347,47.9,106.1,33,9,9,27.8,8.6,12,30.0
P0018,33,30,2635,37.8,121.3,195,96,9,21.3,7.4,10,50.7
P0019,39,36,50,54.7,121.2,4,1,2,29.2,5.2,12,30.0
P0020,47,44,50,29.8,118.1,4,1,11,40.1,7.8,16,30.0
P0021,11,8,171,51.6,149.9,11,5,9,37.3,6.9,12,30.0
P0022,30,30,2310,37.8,131.5,153,123,5,35.8,5.9,7,43.3
P0023,42,39,50,30.1,130.2,5,1,2,33.4,9.1,15,30.0
P0024,21,21,50,31.6,98.9,3,1,6,26.1,7.5,7,30.0
P0025,31,28,508,33.1,146.4,36,12,6,17.4,7.1,14,30.0
P0026,34,32,1977,39.8,112.7,178,65,6,27.4,7.0,8,35.6
P0027,36,35,3134,40.7,136.1,332,142,8,27.1,5.9,8,67.0
P0028,37,37,612,30.8,140.0,38,14,7,37.4,6.1,14,30.0
P0029,25,22,463,35.8,159.5,43,20,7,31.5,8.7,7,30.0
P0030,24,22,2619,55.3,111.4,175,41,6,41.9,6.9,10,46.0
P0031,12,11,50,51.5,90.0,3,1,8,38.6,7.4,15,30.0
P0032,46,46,1123,39.9,138.3,70,51,9,25.3,5.4,14,35.2
P0033,16,15,648,36.3,167.4,71,18,8,15.0,6.1,15,37.0
P0034,30,28,1504,37.1,157.3,100,56,7,40.1,8.0,8,31.3
P0035,18,18,366,41.5,138.8,22,8,12,39.9,7.8,10,30.0
P0036,48,47,1302,26.8,126.2,112,58,8,18.1,9.2,5,30.0
P0037,27,24,50,33.7,149.5,5,0,6,41.1,8.7,14,30.0
P0038,13,13,93,21.0,117.5,7,4,9,32.1,7.2,10,30.0
P0039,34,33,1899,39.6,143.6,161,43,7,30.3,7.9,7,36.9
P0040,23,21,50,41.8,144.1,3,2,8,41.9,7.1,10,30.0
P0041,18,16,536,31.7,154.1,46,15,9,39.8,9.5,16,30.0
P0042,35,35,2540,50.2,180.0,240,111,7,34.2,8.5,18,58.4
P0043,11,10,164,25.0,142.1,15,4,7,32.8,7.6,18,30.0
P0044,29,29,774,22.8,125.8,61,39,6,33.9,7.6,13,30.0
P0045,37,37,52,38.0,134.5,4,1,7,25.8,8.8,15,30.0
P0046,16,15,540,45.4,103.2,35,11,10,28.6,8.0,12,30.0
P0047,17,16,1317,51.2,122.5,108,45,10,21.8,9.0,11,37.8
P0048,44,41,1511,31.9,127.6,99,27,7,26.3,5.2,13,36.1
P0049,23,22,415,45.7,125.6,43,9,10,26.1,7.9,11,30.0
P0050,26,24,1047,35.7,137.7,123,55,6,23.9,6.9,7,30.0
P0051,45,45,2657,34.4,120.2,314,143,8,30.1,9.2,18,44.8
