Player_ID,MatchesPlayed,Goals,Assists,Shots,ShotsOnTarget,PassAccuracy,Tackles,Player_Performance_Score
P0001,48,6,6,20,9,84.53,29,83.64
P0002,38,14,3,44,22,73.44,27,96.02
P0003,24,9,7,28,10,69.09,26,79.87
P0004,17,4,3,31,13,76.27,17,70.96
P0005,30,8,6,30,11,92.07,26,78.95
P0006,48,6,5,17,12,84.34,30,82.64
P0007,28,7,2,41,26,86.19,28,84.94
P0008,32,6,5,39,15,87.17,21,89.54
P0009,20,5,7,30,10,77.86,16,75.38
P0010,20,9,8,26,16,91.72,24,85.3
P0011,33,6,0,25,13,77.57,22,68.49
P0012,45,4,5,30,19,91.84,21,94.29
P0013,49,7,4,35,25,85.1,25,91.74
P0014,33,6,6,31,18,69.48,13,76.27
P0015,12,3,4,29,12,76.76,24,72.02
P0016,31,10,7,31,20,69.51,28,95.2
P0017,11,11,2,51,37,90.14,22,96.3
P0018,33,8,3,38,22,81.83,25,82.86
P0019,39,4,3,18,11,66.4,22,66.05
P0020,47,5,5,33,16,84.63,24,87.7
P0021,11,11,6,47,23,78.24,31,90.13
P0022,30,6,9,28,18,71.61,25,87.41
P0023,42,9,6,47,33,93.75,18,100.0
P0024,21,7,7,21,12,82.75,29,75.9
P0025,31,9,2,23,15,79.95,18,84.76
P0026,34,7,2,23,9,79.2,19,71.86
P0027,36,12,8,29,12,71.41,29,98.24
P0028,37,11,8,34,19,72.87,27,94.76
P0029,25,7,8,25,10,90.99,19,81.99
P0030,24,5,7,29,17,78.68,19,77.36
P0031,12,7,6,29,13,82.15,19,70.99
P0032,46,10,2,42,27,67.69,28,92.2
P0033,16,10,7,38,25,72.77,18,84.17
P0034,30,3,6,19,10,86.27,22,79.76
P0035,18,11,5,31,13,84.64,18,87.35
P0036,48,9,6,45,27,94.27,29,100.0
P0037,27,9,4,26,19,91.4,28,91.0
P0038,13,9,4,34,20,80.39,29,84.26
P0039,34,10,4,25,10,85.31,19,91.91
P0040,23,6,5,40,14,79.78,23,75.52
P0041,18,10,4,37,17,96.38,15,80.28
